STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-01,0.64,0.0,52.0,43.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-02,0.33,0.0,46.0,39.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-03,0.33,0.0,48.0,37.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-04,0.21,0.0,47.0,35.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-05,0.25,0.0,48.0,33.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-06,0.39,0.0,48.0,42.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-07,0.67,0.0,51.0,42.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-08,0.04,0.0,49.0,38.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-09,0.16,0.0,52.0,34.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-10,0.89,0.0,45.0,38.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-11,0.0,0.0,45.0,33.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-12,0.0,0.0,43.0,30.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-13,0.0,0.0,45.0,31.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-14,0.0,0.0,42.0,28.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-15,0.0,0.0,36.0,34.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-16,0.0,0.0,37.0,30.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-17,0.0,0.0,35.0,31.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-18,0.0,0.0,36.0,31.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-19,0.0,0.0,37.0,30.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-20,0.0,0.0,39.0,32.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-21,0.0,0.0,49.0,35.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-22,0.17,0.0,49.0,42.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-23,0.01,0.0,49.0,46.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-24,0.0,0.0,46.0,38.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-25,0.0,0.0,49.0,31.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-26,0.0,0.0,48.0,31.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-27,0.0,0.0,54.0,28.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-28,0.0,0.0,53.0,24.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-29,0.16,0.0,44.0,34.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-30,0.09,0.0,47.0,31.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-01-31,0.29,0.0,35.0,28.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-01,0.05,0.0,42.0,33.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-02,0.0,0.0,46.0,28.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-03,0.3,0.0,40.0,29.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-04,0.18,0.0,43.0,32.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-05,0.0,0.0,38.0,28.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-06,0.0,0.0,44.0,22.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-07,0.3,0.0,46.0,29.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-08,0.9,0.0,46.0,38.0
USW00024234,"SEATTLE BOEING FIELD, WA US",1948-02-09,0.0,0.0,45.0,35.0
